manufacturer,model,impedance_ohm,fs_hz,qts,qes,qms,vas_l,re_ohm,le_mh,sd_cm2,mms_g,mmd_g,cms_mm_per_n,rms_ns_per_m,bl_tm,xmax_mm,xmech_mm,vd_cm3,linear_travel_pp_mm,max_travel_pp_mm,xlin_mm,eta0_percent,ebp_hz,sensitivity_db,power_rms_w,power_handling_w,nominal_diameter_in,qa_as_printed,sensitivity_1w_1m_db,sensitivity_2v83_1m_db,le_frequency_hz,nominal_diameter_mm,overall_diameter_mm,overall_width_mm,overall_height_mm,overall_depth_mm,mounting_depth_mm,cutout_diameter_mm,bolt_circle_diameter_mm,mounting_hole_diameter_mm,mounting_hole_count,flange_thickness_mm,magnet_diameter_mm,magnet_depth_mm,voice_coil_diameter_mm,voice_coil_height_mm,voice_coil_former_height_mm,gap_height_mm,effective_diaphragm_diameter_mm,cone_dome_diameter_mm,ribbon_dimension_1_mm,ribbon_dimension_2_mm,overall_dimension_1_mm,overall_dimension_2_mm,overall_dimension_3_mm,cutout_dimension_1_mm,cutout_dimension_2_mm,tweeter_voice_coil_diameter_mm,tweeter_voice_coil_height_mm,tweeter_gap_height_mm,krm_microohm,erm,kxm_mh,exm,power_peak_w,frequency_min_hz,frequency_max_hz,crossover_frequency_hz,crossover_slope_db_per_oct,power_continuous_iec268_5_w,power_test_highpass_hz,power_test_highpass_slope_db_per_oct,net_weight_kg,magnet_weight_g,sensitivity_tolerance_db
Aurum Cantus,AC-130MK2,8,35,0.29,0.33,3.02,26.901004262,7,0.35,95,9,,3.06,,5.63,5,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurum Cantus,AC-165,8,32,0.37,0.41,3.38,75.889148867,7,0.35,133,9.6,,3.03,,5.3,5,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurum Cantus,AC-180F1,8,32,0.32,0.36,3.05,75.889148867,7,0.48,168,15.4,,1.89,,7.2,6,,,,,,,,,100,,7,,,,,177.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurum Cantus,AC-200MK2,8,25,0.23,0.25,3.99,107.887185516,7,0.67,220,29.2,,1.59,,10.6,8,,,,,,,,,150,,8,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurum Cantus,AC120/50CK,8,43,0.18,0.19,3.4,11.893075569,7,0.67,82,11.5,,1.21,,10.6,6,,,,,,,,,150,,5,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurum Cantus,AC130/50CK,8,37,0.21,0.23,3.17,22.087140342,7,0.67,95,12.4,,1.73,,9.1,6,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurum Cantus,AC165/50C2C,8,37,0.19,0.2,4.22,31.998036649,7,0.67,133,14.3,,1.29,,10.8,6,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurum Cantus,AC165/50CK,8,37,0.19,0.2,3.68,24.069319603,7,0.67,133,13.7,,0.97,,12.3,6,,,,,,,,89,150,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurum Cantus,AC250/75C2C,8,23,0.28,0.32,1.95,193.120893757,7,1.31,346,61.3,,1.1,,11.4,8,,,,,,,,,250,,10,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurum Cantus,AC500/75C2C,8,22,0.35,0.42,2.16,231.914973588,7,1.31,500,84,,0.65,,13.2,8.5,,,,,,,,,250,,12,,,,,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyma,1000/FE,8,30,0.4,0.42,11,265,6,2,125.5,237,,0.119,,25.3,12.5,,,,,,1.65,,96,,1000,,,,,,,,,,215,,413,,,,,,,100,30,,12,,,,,462,,,,,,,,,,,,,,,,,,,,,,
Beyma,10BR60-V2,8,31,0.47,0.55,3.29,108.2,6.5,1.5,380,48,,0.536,2.89,10.6,6.5,,240,,,,0.57,,90.6,,100,,,,,,,,,,111,,228,,,,,,,51.7,16,,7,,,,,260.5,,,,,,,,,,,,,,,,,,,,,,
Beyma,10G40,8,55,0.31,0.33,6.47,33,6,1,380,51,,0.164,,17.9,6,,,,,,1.6,,96,,400,,,,,,,,,,133,,228,,,,,,,77,20,,8,,,,,260.5,,,,,,,,,,,,,,,,,,,,,,
Beyma,10MC500,8,60,0.28,0.29,7.5,26,5.7,1,35,44,,0.154,,18.3,8,,280,,,,2,,97,,500,,,97,,,,,,,125,,230,,,,,,,63.5,19.5,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,
Beyma,10MI100,8,50,0.21,0.22,6.6,54,6.6,0.9,38,38,,0.266,,18.7,4.5,,,,,,3,,98,,350,,,,,,,,,,108.5,,228,,,,,,,77,13.5,,9.5,,,,,260.5,,,,,,,,,,,,,,,,,,,,,,
Beyma,10NMFS,8,35,0.42,0.45,5.9,45,5.9,1.49,370,89,,23.3,,16,14.5,,536,,,,0.42,,90,,350,,,90,,,,,,,158,,229,,,,,,,63.5,32,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,
Beyma,12BR70,8,35,0.5,0.56,4.44,142,5.6,0.85,540,74,,0.354,,12.1,8,,,,,,0.76,,93,,125,,,,,,,,,,126,,277.5,,,,,,,52,19,,7,,,,,312,,,,,,,,,,,,,,,,,,,,,,
Beyma,12G40,8,44,0.3,0.3,11.6,81,6,2.1,530,62,,0.206,,18.4,5,,,,,,2.3,,97,,500,,,,,,,,,,139,,277.5,,,,,,,77,17.5,,8,,,,,312,,,,,,,,,,,,,,,,,,,,,,
Beyma,12GA50,8,90,1.16,1.26,14.8,34,6.2,0.6,530,34,,0.087,1.3,10,3,,159,,,,2.1,,102,,250,,,,,,,,,,139,,278,,,,,,,52,7,,,,,,,312,,,,,,,,,,,,,,,,,,,,,,
Beyma,12MC500,8,57,0.38,0.39,8.58,54.9,5.5,0.7,55,59,,0.128,,17.3,8,,,,,,2.55,,98,,500,,,,,,,,,,140,,278,,,,,,,63.5,19.5,,10,,,,,312,,,,,,,,,,,,,,,,,,,,,,
Beyma,12MI100,8,58,0.22,0.23,5.54,64,6.3,1,530,47,,0.163,3.3,21.6,2,,159,,,,5.1,,100,,450,,,,,,,,,,139,,277.5,,,,,,,77,13.5,,9.5,,,,,312,,,,,,,,,,,,,,,,,,,,,,
Beyma,12P1000/ND,8,47,0.26,0.27,7.89,49,5.1,2,550,100,,0.115,3.7,23.5,8,,440,,,,1.8,,96,,900,,,,,,,,,,131,,283,,,,,,,100,21,,12,,,,,312,,,,,,,,,,,,,,,,,,,,,,
Beyma,1400/FE,8,32,0.27,0.28,10.23,228.9,5.05,1.2,125.5,230,,0.103,,29,10,,,,,,2.71,,98,,1400,,,,,,,,,,211,,413,,,,,,,100,25,,15,,,,,461,,,,,,,,,,,,,,,,,,,,,,
Beyma,15 XA 38 ND - Coaxial Neodym,8,33,0.29,0.3,7.5,359,6.8,1.6,880,72,,0.326,,18.2,4,,,,,,4,,99,,380,,,,,,,,,,181,,352,,,,,,,100,16,,9,,,,,388,,,,,,,,,,,,,,,,,,,,,,
Beyma,15MC500,8,46,0.46,0.49,8,131.5,5.7,1.15,88,98,,0.12,,18.25,8,,704,,,,2.55,,98,,500,,,,,,,,,,170,,370,,,,,,,63.5,19.5,,10,,,,,388,,,,,,,,,,,,,,,,,,,,,,
Beyma,15P80/ND,8,33,0.178,0.182,7.7,250,5.1,0.8,880,101,,0.229,2.73,24.3,7.5,,660,,,,4.77,,100,,800,,,,,,,,,,157.5,,349.5,,,,,,,100,20,,12,,,,,388,,,,,,,,,,,,,,,,,,,,,,
Beyma,30P-POLYPROPYLEN,8,55,0.62,0.76,3.36,18,5.9,0.5,140,14,,0.59,,5.9,4,,,,,,0.4,,90,,50,,,,,,,,,,78,,140,,,,,,,26,14,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,
Beyma,5 MP 60 N - Polypropylen,8,63,0.46,0.58,2.3,5.77,5.3,0.23,85,11,,0.564,,6.4,5.5,,,,,,0.24,,88,,50,,,,,,,,,,68.22,,112.2,,,,,,,25.4,14,,6,,,,,133,,,,,,,,,,,,,,,,,,,,,,
Beyma,5G40,8,140,0.45,0.53,2.8,1.4,6.6,0.2,85,9,,0.143,2.9,10,3,,26,,,,3,,92,,100,,,,,,,,,,72,,120,,,,,,,38.1,9,,7,,,,,155,,,,,,,,,,,,,,,,,,,,,,
Beyma,5P200/ND,8,78,0.3,0.31,10.7,4.5,5.3,0.25,95,11,,0.335,,9.9,5.7,,54.1,,,,0.68,,92,,150,,,92,,,,,,,71,,119,,,,,,,14,6,,6,,,,,155,,,,,,,,,,,,,,,,,,,,,,
Beyma,6 NMFW Subwoofer 8 Ohm,8,40,0.34,0.35,7.5,11,5.8,0.95,154,45,,34.2,,14,9,,,,,,0.21,,87,,200,,,,,,,,,,109,,157,,,,,,,50.8,20,,6,,,,,176,,,,,,,,,,,,,,,,,,,,,,
Beyma,6CX200/FE,8,65,0.32,0.34,5.1,10.5,4.9,0.3,13.5,14,,0.408,,9.15,5,,,,,,0.8,,,,,,,,,,,,,,106,,145,,,,,,,,13,,7,,,,,188,,,,,,,,,,,,,,,,,,,,,,
Beyma,6G40,8,88,0.33,0.34,9.1,7.2,6.2,0.6,140,12,,0.26,,11,1,,,,,,1.4,,95,,170,,,,,,,,,,75.5,,146,,,,,,,51.7,9,,7,,,,,187.5,,,,,,,,,,,,,,,,,,,,,,
Beyma,6MI100,8,128,0.51,0.55,8.6,3.07,6,0.2,140,14,,0.199,,10.8,3,,42,,,,1.2,,94,,500,,,94,,,,,,,85,,146,,,,,,,51.7,7,,7,,,,,174,,,,,,,,,,,,,,,,,,,,,,
Beyma,8BR40/N,8,33.2,0.57,0.73,2.61,61.35,6.5,0.8,220,25,,0.907,2.02,6.9,6,,130,,,,0.3,,90,,50,,,,,,,,,,86,,179.5,,,,,,,25.8,16,,6,,,,,211.5,,,,,,,,,,,,,,,,,,,,,,
Beyma,8G40,8,70,0.36,0.38,6.83,17,6.1,1.3,220,21,,0.246,,12.2,4.5,,,,,,1.5,,95,,250,,,,,,,,,,96,,181,,,,,,,63.5,16,,7,,,,,212,,,,,,,,,,,,,,,,,,,,,,
Cube Audio,F10,10,28,0.58,0.63,14.58,185,9.4,0.138,346,30,,0.72,,9.2,2.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,12LF,8,28,0.21,0.22,5.19,147.81,6.7,1.47,533,88.3,,0.37,,21.8,9.25,,493,,,,,,94.5,400,,,,,94.5,,304,324,,,143,,,,,8,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,12N,8,38,0.26,0.27,7.75,127.99,7.5,0.21,494.56,54.46,,0.323,,19.19,6.75,,333.2,,,,,,96.6,400,,,,,96.6,,304,319,,,143.7,,,,,8,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,15LF,8,25.5,0.26,0.27,6.7,331.31,6.4,1.74,837.4,117,,0.33,,21.1,9.25,,,,,,,,96,700,,,,,96,,381,,,,,,355.6,372,,8,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,15N,8,44,0.33,0.34,10.47,154.61,5.8,0.14,844.53,93.39,,0.142,,20.96,6.55,,,,,,,,98.6,500,,,,,98.6,,381,389,,,169,,353,,,8,,,,76.2,,,,,,,,389,180.5,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,18F,8,32,0.4,0.42,8.97,287.7,6.5,2.25,1200,193.6,,0.13,,24.44,10.6,,1272,,,,,,96,1200,,,,,96,1000,,462,,,192.8,,413.8,,,8,,,,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,18SW1200N-8,8,32,0.33,0.35,10.02,253.4357769984,6.1,0.61,1200,217.8,,0.114,,27.57,9.1,,,,,,,,,,,,,,,,457.2,462.026,,,183.388,,412.242,,,8,,,,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,6.5N,8,102.8,0.28,0.29,8.02,3.4,6.06,1.29,132.67,16.92,,0.141,,14.94,3.77,,,,,,,,94.4,200,,,,,94.4,,165.1,167.5,,,84.5,,146,,,4,,,,50.8,,,,,,,,167.5,84.5,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,8N,8,94,0.32,0.35,4.43,8.8,6,0.17,200.96,20.89,,0.137,,14.41,3.91,,78.32,,,,,,95.5,200,,,,,95.5,1000,,209.8,,,86.3,,181.8,,,8,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CE32A-4,4,262.1,0.86,1.24,2.86,0.15,3.57,0.015,3.917,0.52,,0.688,,1.59,0.5,,0.002,,,,,,78,2,,,,78,,,32,32,,,15.5,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CE32A-8,8,274,0.87,1.25,2.84,0.004247527,7.18,0.29,3.92,0.52,,0.69,,2.2,0.7,,,,,,,,77.9,2,,,,,77.9,,25.4,32,,,14.5,,31.5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CE40-28P-8,8,607,2.83,9.87,3.96,0.0005,7,0.26,5.28,0.37,,0.177,,1.3,0.1,,,,,,,,72,2,,,,,72,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CE48-4,4,151,0.95,1.04,11.03,0.0566336932,3.5,0.37,9.1,1.9,,0.59,,2.48,1.2,,1.09,,,,,,79,5,,,,,79,,,64.77,,,,,35.56,,,,,,,16.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CE65W-8,8,112,0.78,0.95,4.27,0.5946537784,6.9,0.15,20.1,2,,1.01,,3.2,2,,4,,,,,,82,7,,,,,82,,63.5,83.31,,,45.21,,58.93,73.66,,4,,,,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CE70PR-4,4,109,0.63,0.77,3.5,0.5097032387,3.13,0.31,24.6,3.5,,0.61,,3.11,4,,9.84,,,,,,85,20,,,,,85,,63.5,,,,,,,,,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CF120-4,4,53.2,0.28,0.32,1.89,4.8138639206,3.4,0.45,51.25,6.86,,1.306,,4.94,3.5,,20.6,,,,,,89.1,30,,,,,89.1,,114.3,127,,,57.15,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,CX120-8,8,87.5,0.48,0.57,2.89,3,6.22,0.63,52.51,4.82,,0.765,,5.08,3,,,,,,,,,40,,,,,,,101.6,120.6,,,,,,109.5,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DA115-8,8,60,0.41,0.49,2.6,4.3891112218,6.4,0.7,53.1,6.6,,1.1,,5.7,2.5,,0.0133,,,,,,84.9,20,,4,,,,,101.6,115.6,,,57.4,,93,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DA135-8,8,56.5,0.54,0.68,2.31,7.3623801139,6.4,0.97,75.4,8.54,,0.93,,5.32,3,,22.6,,,,,,85,30,,,,,85,,133.3,134.9,,,63,,111.5,126,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DA175-8,8,39,0.58,0.7,3.31,16.423771023,5.9,1.14,132.7,25.17,,0.66,,7.17,4.25,,56.4,,,,,,85,50,50,7,,85,85,,177.8,175.5,,,81,,144,166.1,,5,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DA215-8,8,34.9,0.37,0.45,1.95,42.758438354,6.8,1.44,211.2,30.3,,0.68,,10,5.3,,112,,,,,,88.7,60,60,8,,88.7,,,203.2,215.9,,,94.5,,180.1,206.5,,5,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC130A-8,8,53.2,0.41,0.51,1.9,13.8752548301,5.7,0.75,91.6,9.3,,0.96,,5.88,2.5,,22.9,,,,,,88.7,40,,,,,88.7,,133.3,134.1,,,69.5,,119.8,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC130AS-8,8,57.2,0.45,0.58,2.01,9.6277278413,5.6,0.84,91.6,9.7,,0.8,,5.83,2.5,,22.9,,,,,,88.5,30,,,,,,,133,134,,,78.5,,119.8,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC130B-4,4,51.8,0.35,0.41,2.52,12.3,3.2,0.5,91.6,9.4,,1,,4.89,2.5,,22.9,,,,,,92.1,40,40,,,,92.1,1000,133,145,,,67.8,,120,,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC130B-8,8,52.5,0.38,0.48,1.85,12.4,5.7,0.77,91.6,9.1,,1.01,,5.94,2.5,,22.9,,,,,,84.1,40,40,,,,84.1,1000,133,145,,,67.8,,120,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC130BS-4,4,51.8,0.35,0.44,1.86,13.2,3.55,0.5,93.3,8.8,,1.08,,4.8,2.5,,14,,,,,,92,30,,,,,,1000,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC130BS-8,8,50.5,0.39,0.49,1.82,8.778222444,5.8,0.82,91.6,8.8,,1.13,,5.71,2.5,,,,,,,,,30,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC160-4,4,39,0.43,0.49,3.31,15,3.4,0.99,136.8,29.2,,0.57,,7.02,3.4,,46.5,,,,,,86.1,60,60,,,,86.1,1000,165.1,165,,,,,144.6,156.5,,4,,,,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC160-8,8,35.7,0.34,0.38,3.46,17.9,6.6,2.26,134.8,29.3,,0.68,,10.7,3.15,,42.5,,,,,,86.1,50,50,,,,86.1,1000,165,165,,,82.2,,144.6,,,4,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC200-8,8,30.3,0.42,0.49,3.06,45.7,6.41,2.32,211.2,36.1,,0.77,,9.5,4.5,,95.1,,,,,,87,60,60,8,,,87,1000,203.2,205,,,93.5,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC250-8,8,24.9,0.38,0.44,3.16,104,6.6,2.63,343.1,67.5,,0.61,,12.64,4.5,,154.4,,,,,,88.4,70,70,10,,,88.4,1000,254,256,,,113,,234,245.6,,4,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC300-8,8,22.9,0.33,0.37,3.21,181.5,6.8,2.93,498.8,100.7,,0.48,,16.3,4.3,,214.5,,,,,,90.3,80,80,12,,,90.3,1000,304.8,306.5,,,131.5,,279.4,,,8,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DC380-8,8,18.8,0.3,0.34,2.87,391.4,6.4,3.09,834.7,182.9,,0.39,,20.4,4.35,,363.1,,,,,,91.8,100,100,15,,,91.8,1000,381,385.06,,,162.05,,348.99,364.99,,8,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DCS165-4,4,35.7,0.34,0.36,6.62,12.1,3.4,1.43,124.7,39.5,,0.5,,9.15,6,,74.8,,,,,,87.4,100,100,,,,87.4,1000,165,166.878,,,82.55,,142.748,,,8,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DCS205-4,4,32.3,0.37,0.4,6.28,27,3.9,1.78,213.8,57.7,,0.42,,10.7,8.8,,188.2,,,,,,88.6,150,150,,,,88.6,,,,,,107.5,,180,,5.8,8,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DCS255-4,4,37.7,0.46,0.5,7.42,32.1,3.45,1.8,346.4,95.5,,0.19,,12.6,8.3,,287.5,,,,,,91,200,200,,,,91,1000,254,258,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DCS305-4,4,24.2,0.4,0.43,5.07,92.3,3.3,2.06,498.8,160,,0.27,,13.7,9.3,,468.8,,,,,,90.5,250,250,,,,90.5,1000,304.8,306,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DCS385-4,4,17.5,0.39,0.42,5.27,311,3.3,2.2,850.1,273,273,0.3,,15.4,9.3,,790.6,,,,,,91.7,250,300,,,,91.7,1000,381,387,,,185.4,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,DMA105-4,4,72.67,0.51,0.63,2.6,4.2475269888,3.4,0.3,54.1,4.53,,1.06,,3.35,2.5,,13.5,,,,,,89.8,35,,,,,89.8,,101.6,,,,47.24,,98.43,127,,4,,,,25.4,,,,,,,,104.14,104.14,,,,,,,,,,,,,,,,,,,,,
